COMPOSITE TABLE
 Factors               i      j   t PlotOutput
  SprTim    201815094122 St0002  22      153.5
  SprPuw    201815094122 St0002  22       79.5
  Decids    201815094122 St0002  22      258.6
  ResStm    201815094122 St0002  22       99.2
  ResRot    201815094122 St0002  22       76.0
  SprTim    201815094122 St0003  22      153.5
  SprPuw    201815094122 St0003  22       79.5
  Decids    201815094122 St0003  22      258.6
  ResStm    201815094122 St0003  22       99.2
  ResRot    201815094122 St0003  22       76.0
  SprTim    201815094122 St0004  21      149.0
  SprPuw    201815094122 St0004  21       79.3
  Decids    201815094122 St0004  21      249.1
  ResStm    201815094122 St0004  21       96.9
  ResRot    201815094122 St0004  21       73.9
  SprTim    201815094122 St0006  20      144.4
  SprPuw    201815094122 St0006  20       79.0
  Decids    201815094122 St0006  20      239.6
  ResStm    201815094122 St0006  20       94.5
  ResRot    201815094122 St0006  20       71.8
  SprTim    201815094122 St0008  19      139.7
  SprPuw    201815094122 St0008  19       78.7
  Decids    201815094122 St0008  19      230.0
  ResStm    201815094122 St0008  19       92.1
  ResRot    201815094122 St0008  19       69.7
  SprTim    201815094122 St0010  18      134.9
  SprPuw    201815094122 St0010  18       78.3
  Decids    201815094122 St0010  18      220.3
  ResStm    201815094122 St0010  18       89.6
  ResRot    201815094122 St0010  18       67.5
  SprTim    201815094122 St0013  17      130.0
  SprPuw    201815094122 St0013  17       77.9
  Decids    201815094122 St0013  17      210.6
  ResStm    201815094122 St0013  17       87.0
  ResRot    201815094122 St0013  17       65.3
  SprTim    201815094122 St0016  16      125.1
  SprPuw    201815094122 St0016  16       77.3
  Decids    201815094122 St0016  16      201.0
  ResStm    201815094122 St0016  16       84.5
  ResRot    201815094122 St0016  16       63.0
  SprTim    201815094122 St0019  15      120.1
  SprPuw    201815094122 St0019  15       76.7
  Decids    201815094122 St0019  15      191.4
  ResStm    201815094122 St0019  15       81.8
  ResRot    201815094122 St0019  15       60.8
  SprTim    201815094122 St0022  14      115.0
  SprPuw    201815094122 St0022  14       76.0
  Decids    201815094122 St0022  14      181.9
  ResStm    201815094122 St0022  14       79.2
  ResRot    201815094122 St0022  14       58.5
  SprTim    201815094122 St0025  13      110.0
  SprPuw    201815094122 St0025  13       75.2
  Decids    201815094122 St0025  13      172.4
  ResStm    201815094122 St0025  13       76.5
  ResRot    201815094122 St0025  13       56.2
  SprTim    201815094122 St0028  12      104.9
  SprPuw    201815094122 St0028  12       74.4
  Decids    201815094122 St0028  12      163.0
  ResStm    201815094122 St0028  12       73.9
  ResRot    201815094122 St0028  12       53.9
  SprTim    201815094122 St0031  11       99.9
  SprPuw    201815094122 St0031  11       73.4
  Decids    201815094122 St0031  11      153.6
  ResStm    201815094122 St0031  11       71.1
  ResRot    201815094122 St0031  11       51.6
  SprTim    201815094122 St0034  10       94.9
  SprPuw    201815094122 St0034  10       72.4
  Decids    201815094122 St0034  10      144.2
  ResStm    201815094122 St0034  10       68.4
  ResRot    201815094122 St0034  10       49.3
  SprTim    201815094122 St0037   9       89.9
  SprPuw    201815094122 St0037   9       71.3
  Decids    201815094122 St0037   9      134.8
  ResStm    201815094122 St0037   9       65.6
  ResRot    201815094122 St0037   9       46.9
  PinPuw    201815094122 St0039  22       23.4
  SprPuw    201815094122 St0039  22        9.0
  ResRot    201815094122 St0039  22        6.3
  PinPuw    201815094122 St0041  22       22.0
  SprPuw    201815094122 St0041  22        8.4
  ResRot    201815094122 St0041  22        6.0
  SprTim    201815094122 St0042   8       85.1
